***Starting server on port 54627 ***
Loading net-file from 'scenario/lust/lust.net.xml' ... done (963ms).
Loading additional-files from 'scenario/lust/vtypes.add.xml' ... done (5ms).
Loading additional-files from 'scenario/lust/busstops.add.xml' ... done (10ms).
Loading additional-files from 'scenario/lust/e1detectors.add.xml' ... done (95ms).
Loading additional-files from 'scenario/lust/lust.poly.xml' ... done (387ms).
Loading additional-files from 'scenario/lust/tll.static.xml' ... done (16ms).
Loading done.
Simulation version 1.4.0 started with time: 0.00
Warning: Vehicle '0BEtoLU.8' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=1194.00.
Warning: Vehicle '0BEtoLU.11' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=1507.00.
Warning: Vehicle '0BEtoLU.14' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=1792.00.
Warning: Vehicle 'randUni3136:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=2358.00.
Warning: Vehicle 'randUni5326:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=3716.00.
Warning: Vehicle '1BEtoLU.10' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=4078.00.
Warning: Vehicle 'randUni20768:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=4143.00.
Warning: Vehicle '1BEtoLU.16' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=4220.00.
Warning: Vehicle 'randUni8011:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=4352.00.
Warning: Vehicle '1BEtoLU.21' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=4458.00.
Warning: Vehicle 'randUni6552:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=4995.00.
Warning: Vehicle 'randUni13755:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=5113.00.
Warning: Vehicle '1BEtoLU.43' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=5622.00.
Warning: Vehicle 'randUni19902:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=5758.00.
Warning: Vehicle 'randUni19047:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=6325.00.
Warning: Vehicle '1BEtoLU.63' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=6795.00.
Warning: Vehicle 'randUni3462:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=6888.00.
Warning: Vehicle '1BEtoLU.78' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=7337.00.
Warning: Vehicle '2BEtoLU.7' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=7578.00.
Warning: Vehicle 'randUni171:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=7807.00.
Warning: Vehicle 'randUni20296:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=7821.00.
Warning: Vehicle 'randUni11111:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=7827.00.
Warning: Vehicle 'randUni13156:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=8166.00.
Warning: Vehicle 'randUni11684:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=8238.00.
Warning: Vehicle '2BEtoLU.34' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=8427.00.
Warning: Vehicle '2BEtoLU.50' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=8813.00.
Warning: Vehicle '2BEtoLU.62' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=9170.00.
Warning: Vehicle '2BEtoLU.78' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=9561.00.
Warning: Vehicle '2BEtoLU.81' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=9618.00.
Warning: Vehicle 'randUni16267:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=9818.00.
Warning: Vehicle 'randUni4256:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=10014.00.
Warning: Vehicle 'randUni18066:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=10206.00.
Warning: Vehicle '2BEtoLU.99' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=10294.00.
